Date,x,y,BroadTopic,Topic,SubTopic,category_id
2020,7.6892133414634145,3.582164623780488,1,1.0,,24
1960,4.535212425342467,2.395836620890411,0,2.0,,25
1976,4.538554813855423,4.305533495180724,0,2.0,,25
1980,4.331224,4.184872315384616,0,2.0,,25
1984,3.9941253795238096,4.271803614285714,0,2.0,,25
1988,4.940107819553073,3.7148758625698326,0,2.0,,25
1992,5.203624125634921,4.39560664484127,0,2.0,,25
1996,5.350991648820512,4.230729357435897,0,2.0,,25
2000,4.781195151495328,4.088737044859813,0,2.0,,25
2004,4.98695687081081,4.028176951621623,0,2.0,,25
2008,4.924064247411348,3.0357716911099293,0,2.0,,25
2012,5.718972018121827,3.6680214235025383,0,2.0,,25
2016,4.652833992038215,4.201960907643312,0,2.0,,25
2020,4.4697378547368425,4.357398987368421,0,2.0,,25
1960,10.522982441176469,5.155052317647058,3,3.0,,26
1976,10.02626530769231,5.92823013076923,3,3.0,,26
1980,9.930740656666668,4.952484713333333,3,3.0,,26
1984,10.327928833333333,5.239851316666666,3,3.0,,26
1988,9.19927821147541,6.068220101639344,3,3.0,,26
1992,9.712959434181817,6.09189995,3,3.0,,26
1996,9.44952657226891,5.872886144537815,3,3.0,,26
2000,10.112830850574714,5.6327058011494255,3,3.0,,26
2004,9.932839211728394,6.14370845,3,3.0,,26
2008,10.219715575757576,6.008751504545455,3,3.0,,26
2012,10.210983616806722,5.432517107563027,3,3.0,,26
2016,9.90558524716981,5.678563154716982,3,3.0,,26
2020,9.640244752542374,6.364134037288136,3,3.0,,26
1960,7.556804456249999,0.8275396110937501,1,4.0,,27
1976,7.470390445454544,0.021072521409090925,1,4.0,,27
1980,7.584305836619718,-0.021896444442253526,1,4.0,,27
1984,6.9007425866666665,1.1305261629333332,1,4.0,,27
1988,7.15135227012987,0.6535553500779221,1,4.0,,27
1992,7.173002931818183,0.47124893345454544,1,4.0,,27
1996,6.974106749999999,0.7426075389117648,1,4.0,,27
2000,7.36386881451613,0.2375489771129032,1,4.0,,27
2004,7.021260915151515,0.32892656920303026,1,4.0,,27
2008,7.484569866176471,-0.0013760530529411724,1,4.0,,27
2012,7.483742284210526,0.2411313828236842,1,4.0,,27
2016,7.459827244444444,-0.00579039416666665,1,4.0,,27
2020,7.198887401639345,0.39035814970491806,1,4.0,,27
1960,7.730032309615385,5.782089,1,5.0,,28
1976,6.634582222222222,5.3273975,1,5.0,,28
1980,6.8972479625,5.2685931875000005,1,5.0,,28
1984,7.505447642857141,5.560747728571429,1,5.0,,28
1988,7.044106290909092,5.493528638181817,1,5.0,,28
1992,7.25786646923077,5.889899044444444,1,5.0,,28
1996,7.244765290517241,5.473830124655173,1,5.0,,28
2000,7.296758464233577,5.9715746175182485,1,5.0,,28
2004,7.439724924193548,5.661189601612904,1,5.0,,28
2008,7.585159486249999,5.78315892875,1,5.0,,28
